feature,overall_IC,p_value,avg_daily_IC
spread_ratio,0.005537521046952647,0.03967351380567847,-0.022091021659757272
weighted_mid_price,-0.12487982314892995,0.0,-0.34587089012913214
order_imbalance,0.07618743207227546,3.142609915805972e-108,0.08147495858452994
trade_imbalance,0.024351290910084825,9.181123405989925e-09,0.023467692496008535
depth_pressure_ratio,0.07904979214707343,3.8580899868234287e-190,0.0673487633139764
weighted_depth_imbalance,0.058030662507197864,3.031123347006996e-103,0.05963292070179919
log_return_last_price,,,
buy_sell_volume_ratio,0.07618743207227546,3.142609915805972e-108,0.08147495858452994
trade_buy_amount_ratio,0.024356297372930984,9.117230086393022e-09,0.02346677025838765
sector_spread_mean,0.05228304915866195,3.8468035002133134e-84,0.09939110433859079
sector_order_imbalance_mean,0.05250187789804989,2.0650395305553477e-84,0.05385718390026302
sector_trade_imbalance_std,0.014029082099079227,6.980160013549429e-06,0.015638384484109563
sector_weighted_mid_diff,-0.0638437570943006,1.3500997142306493e-124,-0.18518242091187073
sector_order_volume_total,0.0370188912632877,7.516190064543477e-43,0.012877120028845068
sector_buy_pressure_rank,0.04835310949757561,8.283140325552905e-44,0.05260982132672528
volume_ma_ratio_buy,0.0011659133251409749,0.6746722422561447,
volume_ma_ratio_sell,-0.0019917379440765387,0.47366778528724773,
price_reversion_signal,0.0014900207143053973,0.5810550202701339,
volatility_ratio,-0.003122027594695091,0.24613223626009514,
